place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source
osm_2212506691,बेकरी क्याफे,27.7098873,85.3181147,cafe,,,,True,openstreetmap
osm_2236942184,Meet Point Cafe,27.6953955,85.3408978,cafe,,,,True,openstreetmap
osm_2297964825,Roadhouse Cafe,27.7209107,85.3619714,cafe,,,,True,openstreetmap
osm_2297964894,Unknown Cafe,27.719572,85.3204067,cafe,,,,True,openstreetmap
osm_2415851429,Khaja Ghar,27.674407,85.39254,cafe,,,,True,openstreetmap
osm_2520619641,Café Soma,27.6786722,85.3104479,cafe,,,,True,openstreetmap
osm_2521950150,Roadhouse Cafe,27.6761042,85.3130233,cafe,,,,True,openstreetmap
osm_2543546393,भाउजूको भट्टी,27.6817082,85.3199675,cafe,,,,True,openstreetmap
osm_2584735236,AITM Tea Shop,27.6569487,85.3329305,cafe,,,,True,openstreetmap
osm_2584769267,युनिटी फूड क्याफे,27.6583085,85.3239765,cafe,,,,True,openstreetmap
osm_2638075950,Lila Cold Store,27.6715423,85.2764525,cafe,,,,True,openstreetmap
osm_2684630120,hangout,27.6850859,85.3346508,cafe,,,,True,openstreetmap
osm_2684756028,Goel Bakery,27.6689905,85.3100817,cafe,,,,True,openstreetmap
osm_2684756431,Newari Fast Food,27.6688312,85.3098016,cafe,,,,True,openstreetmap
osm_2684757122,Tandoori fast food,27.671919,85.3129037,cafe,,,,True,openstreetmap
osm_2684757427,momomiya darjeeling restaurant,27.6687439,85.3097523,cafe,,,,True,openstreetmap
osm_2684761311,Abishek khaja Ghar,27.6708713,85.3120842,cafe,,,,True,openstreetmap
osm_2684763711,Kathmandu Tea Room,27.670217,85.3123899,cafe,,,,True,openstreetmap
osm_2684764300,New Tasty Khaja Ghar,27.6707265,85.3119549,cafe,,,,True,openstreetmap
osm_2684766528,Chiya Pasal,27.6697599,85.3125156,cafe,,,,True,openstreetmap
osm_2684769795,Bijukchhe Khaja Ghar,27.673687,85.3119559,cafe,,,,True,openstreetmap
osm_2684770259,Manavog Cafe,27.6719459,85.3121674,cafe,,,,True,openstreetmap
osm_2684803815,the swkuwa and tass ghar,27.6720317,85.3170501,cafe,,,,True,openstreetmap
osm_2684812788,monu thapa khaja ghar,27.667657,85.3094719,cafe,,,,True,openstreetmap
osm_2684818080,Common Cafe Sekuwa Corner,27.6671784,85.3163129,cafe,,,,True,openstreetmap
osm_2684818087,Unknown Cafe,27.6665351,85.3142779,cafe,,,,True,openstreetmap
osm_2684818090,Unknown Cafe,27.6678446,85.3164552,cafe,,,,True,openstreetmap
osm_2684818420,Work N Roll,27.6715851,85.3159634,cafe,,,,True,openstreetmap
osm_2699906123,Dhumbarahi vojanalaya,27.7276422,85.3416028,cafe,,,,True,openstreetmap
osm_2700730521,Yaktumba De-Cafe,27.6543036,85.3057008,cafe,,,,True,openstreetmap
osm_2702359050,Kathmandu Coffee,27.6538132,85.3044253,cafe,,,,True,openstreetmap
osm_2754314875,Islington Canteen,27.7077309,85.3251574,cafe,,,,True,openstreetmap
osm_2785785596,Julie's Bakery Cafe,27.7179184,85.3168442,cafe,,,,True,openstreetmap
osm_2858843075,S Cafe and Coffee Shop,27.6866445,85.3094098,cafe,,,,True,openstreetmap
osm_2978585626,Khawa Karpo Tasty Noodle Factory,27.7248538,85.3644964,cafe,,,,True,openstreetmap
osm_2990731066,New Chatterbox Cafe,27.7246276,85.3645888,cafe,,,,True,openstreetmap
osm_3038281087,Royal Food Cafe,27.6641281,85.3153017,cafe,,,,True,openstreetmap
osm_3060871361,ओफुकुरो नो अजी,27.7128527,85.3112566,cafe,,,,True,openstreetmap
osm_3069572516,गौतम बेकरी,27.7070868,85.3230587,cafe,,,,True,openstreetmap
osm_3072758224,sekuwa corner,27.7492159,85.3470799,cafe,,,,True,openstreetmap
osm_3072783382,CS sekuwa,27.7313219,85.3491615,cafe,,,,True,openstreetmap
osm_3072786827,Unknown Cafe,27.6750366,85.3630475,cafe,,,,True,openstreetmap
osm_3074563847,Cross Road Cafe,27.7080891,85.3395574,cafe,,,,True,openstreetmap
osm_3074563855,RK Cafe,27.7081079,85.3396627,cafe,,,,True,openstreetmap
osm_3074569319,Newaaz cafe,27.708086,85.3399227,cafe,,,,True,openstreetmap
osm_3074585435,Sagar Coke and Coffee Shop,27.7133195,85.344512,cafe,,,,True,openstreetmap
osm_3074604293,Bridge Side Cafe,27.7081611,85.3376065,cafe,,,,True,openstreetmap
osm_3074604294,Cross Road Cafe,27.708259,85.3395086,cafe,,,,True,openstreetmap
osm_3074604300,Motorway Sifal Chiya Pasal,27.7096211,85.3398649,cafe,,,,True,openstreetmap
osm_3076357353,Himalayan Java,27.7069817,85.323031,cafe,,,,True,openstreetmap
osm_3092671527,Besmullah,27.7174396,85.3122819,cafe,,,,True,openstreetmap
osm_3094285270,चिलिस रेस्टुरेन्ट,27.7144574,85.3118441,cafe,,,,True,openstreetmap
osm_3144951825,Stranger Cafe,27.7111207,85.3087644,cafe,,,,True,openstreetmap
osm_3146940897,स्टार बीन क्याफे,27.683142,85.3054544,cafe,,,,True,openstreetmap
osm_3155909220,बिरगंज पर्सा सेकुवा कर्नर,27.6929705,85.2794094,cafe,,,,True,openstreetmap
osm_3155930667,Pappu Paratha Pasal,27.692768,85.2787744,cafe,,,,True,openstreetmap
osm_3164871676,Coffee Club,27.703579,85.3083427,cafe,,,,True,openstreetmap
osm_3188098274,Revolution Cafe,27.7150392,85.3125311,cafe,,,,True,openstreetmap
osm_3188098276,बेकरी क्याफे,27.7140781,85.3139167,cafe,,,,True,openstreetmap
osm_3221224948,Unknown Cafe,27.7185971,85.3366663,cafe,,,,True,openstreetmap
osm_3221248085,Unknown Cafe,27.7294145,85.3309557,cafe,,,,True,openstreetmap
osm_3254965461,MM cyber,27.6702032,85.2809058,cafe,,,,True,openstreetmap
osm_3254986164,Unknown Cafe,27.6716253,85.2820784,cafe,,,,True,openstreetmap
osm_3254988261,BGanesh Maharan's cafe,27.6730065,85.2770844,cafe,,,,True,openstreetmap
osm_3280226571,MM Cyber,27.6734825,85.2799798,cafe,,,,True,openstreetmap
osm_3296145676,Bekharam's Cafe and Ice-cream,27.6733179,85.2760882,cafe,,,,True,openstreetmap
osm_3307465007,Chat Pate Pasal,27.676753,85.2787785,cafe,,,,True,openstreetmap
osm_3316989679,French Bakery,27.7127874,85.3086857,cafe,,,,True,openstreetmap
osm_3325075145,हिमालय जाभा क्याफे,27.7099111,85.3170338,cafe,,,,True,openstreetmap
osm_3329427562,एक्सप्रेसो डिलाईट,27.7094121,85.3166482,cafe,,,,True,openstreetmap
osm_3331617443,हिमालय जाभा २,27.7141537,85.3138962,cafe,,,,True,openstreetmap
osm_3341061785,Nilkantha's tea shop,27.6747052,85.2792158,cafe,,,,True,openstreetmap
osm_3347632389,Coffee and Cupcakes,27.6821723,85.3168394,cafe,,,,True,openstreetmap
osm_3363046525,S2 bakery and momo,27.7118262,85.3417089,cafe,,,,True,openstreetmap
osm_3366665677,Corner Cafe,27.71504,85.3298055,cafe,,,,True,openstreetmap
osm_3391516598,Café Soma,27.7275171,85.330661,cafe,,,,True,openstreetmap
osm_3439142083,Phat Khat,27.7138998,85.3105382,cafe,,,,True,openstreetmap
osm_3464574293,Delicious Cafe,27.7103555,85.3109833,cafe,,,,True,openstreetmap
osm_3476380391,यपागोडा क्याफे,27.710532,85.3149905,cafe,,,,True,openstreetmap
osm_3479423299,क्याफे दे जमल,27.7098097,85.314637,cafe,,,,True,openstreetmap
osm_3487462891,Buddhawraps,27.7145713,85.3105422,cafe,,,,True,openstreetmap
osm_3488601015,Aroma,27.7089046,85.3147168,cafe,,,,True,openstreetmap
osm_3491198839,उत्तरी क्याफे,27.7138493,85.3133153,cafe,,,,True,openstreetmap
osm_3500756844,Narayan Krishna Hotel And Newari Khaja Ghar,27.6807113,85.3861075,cafe,,,,True,openstreetmap
osm_3506385601,क्याफेटेरिया,27.7089551,85.3166127,cafe,,,,True,openstreetmap
osm_3508175157,Hot Pot,27.7092396,85.3103229,cafe,,,,True,openstreetmap
osm_3508175183,Shreega Cafe,27.7096798,85.3100636,cafe,,,,True,openstreetmap
osm_3509030388,मामामिया,27.7088719,85.3150246,cafe,,,,True,openstreetmap
osm_3509034495,स्टार क्याफे,27.7094937,85.3165901,cafe,,,,True,openstreetmap
osm_3512744074,Unknown Cafe,27.6716826,85.3644137,cafe,,,,True,openstreetmap
osm_3560031334,Meeting spot ,27.6900693,85.3345818,cafe,,,,True,openstreetmap
osm_3599851625,सन क्याफे एण्ड बार,27.6785309,85.3102327,cafe,,,,True,openstreetmap
osm_3626551798,Coffee Shop,27.7219218,85.3624147,cafe,,,,True,openstreetmap
osm_3626551800,Unknown Cafe,27.7233361,85.3632029,cafe,,,,True,openstreetmap
osm_3626560512,Unknown Cafe,27.7224812,85.3631641,cafe,,,,True,openstreetmap
osm_3632051776,Namaste Khaja Ghar,27.679481,85.3858776,cafe,,,,True,openstreetmap
osm_3649326367,Unknown Cafe,27.7223113,85.363861,cafe,,,,True,openstreetmap
osm_3753930765,Mocha Pot,27.6784388,85.3142984,cafe,,,,True,openstreetmap
osm_3811339839,Cafe,27.7217885,85.3738388,cafe,,,,True,openstreetmap
osm_4020227088,Unknown Cafe,27.6743874,85.3235756,cafe,,,,True,openstreetmap
osm_4020230289,Unknown Cafe,27.6745195,85.3234431,cafe,,,,True,openstreetmap
osm_4020230290,Unknown Cafe,27.6749456,85.3235338,cafe,,,,True,openstreetmap
osm_4052345826,Coffee Time,27.7073887,85.3274038,cafe,,,,True,openstreetmap
osm_4099201703,हरे राम हरे कृष्ण भवन,27.7025675,85.3076074,cafe,,,,True,openstreetmap
osm_4141167689,Cafe,27.7016958,85.3268655,cafe,,,,True,openstreetmap
osm_4155180091,Kavreli cafe,27.7118379,85.3541503,cafe,,,,True,openstreetmap
osm_4155225589,Unknown Cafe,27.7134002,85.3503855,cafe,,,,True,openstreetmap
osm_4170922389,कर्म कफी ,27.6774904,85.311412,cafe,,,,True,openstreetmap
osm_4198396491,Sabrina,27.7333341,85.3380804,cafe,,,,True,openstreetmap
osm_4198642245,Swotha Tea and Coffee Shop,27.67488,85.3254496,cafe,,,,True,openstreetmap
osm_4198642246,Himalayan Cafe,27.7215128,85.3626336,cafe,,,,True,openstreetmap
osm_4248374398,राजन हाउस,27.6745667,85.3458842,cafe,,,,True,openstreetmap
osm_4250466798,Bliss Raw cafe,27.7222497,85.3623753,cafe,,,,True,openstreetmap
osm_4264062071,Norlahi Momo,27.7257983,85.3501285,cafe,,,,True,openstreetmap
osm_4264065757,Belle Ville,27.7223639,85.3312054,cafe,,,,True,openstreetmap
osm_4286217796,Unknown Cafe,27.6946485,85.2928546,cafe,,,,True,openstreetmap
osm_4293343214,Red pepper cafe,27.7174713,85.3273617,cafe,,,,True,openstreetmap
osm_4294367314,सनराइज क्याफे,27.6877796,85.3162127,cafe,,,,True,openstreetmap
osm_4295544047,Unknown Cafe,27.6837201,85.3859155,cafe,,,,True,openstreetmap
osm_4299434289,चिया र कफी,27.6627453,85.3059894,cafe,,,,True,openstreetmap
osm_4308987489,द लन्च बक्स,27.6861575,85.315713,cafe,,,,True,openstreetmap
osm_4329284695,Mellow Mug,27.6809659,85.3204337,cafe,,,,True,openstreetmap
osm_4329295892,Chiya Pasal,27.6732916,85.3247873,cafe,,,,True,openstreetmap
osm_4329327889,Dani's Handmade Coffee,27.6728835,85.3245667,cafe,,,,True,openstreetmap
osm_4342351590,Unknown Cafe,27.6827737,85.3871936,cafe,,,,True,openstreetmap
osm_4366575104,स्वादिष्ट समोसा!,27.728116,85.3544721,cafe,,,,True,openstreetmap
osm_4366618678,Unknown Cafe,27.7175541,85.3091367,cafe,,,,True,openstreetmap
osm_4370642891,Unknown Cafe,27.7034529,85.3070353,cafe,,,,True,openstreetmap
osm_4371612099,राम्रो खाना क्याफे,27.706281,85.2883237,cafe,,,,True,openstreetmap
osm_4377572768,Siddhartha Sweets and Bakery,27.6832434,85.3477695,cafe,,,,True,openstreetmap
osm_4396927189,अमित अंकित खाजा घर (अड्डा),27.6905661,85.2828665,cafe,,,,True,openstreetmap
osm_4401051297,Unknown Cafe,27.7081859,85.322004,cafe,,,,True,openstreetmap
osm_4403774690,सोहन,27.7063656,85.2970783,cafe,,,,True,openstreetmap
osm_4407301189,Unknown Cafe,27.6701675,85.3242253,cafe,,,,True,openstreetmap
osm_4411694208,बिया क्याफे बेकरी,27.7121724,85.2880845,cafe,,,,True,openstreetmap
osm_4418021591,Unknown Cafe,27.7188053,85.3175635,cafe,,,,True,openstreetmap
osm_4437847089,Teafresho Tea Lounge,27.7116015,85.3126146,cafe,,,,True,openstreetmap
osm_4454912989,Unknown Cafe,27.7199706,85.3175898,cafe,,,,True,openstreetmap
osm_4456060691,Chamena Griha,27.6951667,85.3238823,cafe,,,,True,openstreetmap
osm_4464318792,Unknown Cafe,27.6720257,85.3169819,cafe,,,,True,openstreetmap
osm_4473078805,Unknown Cafe,27.6533294,85.3047916,cafe,,,,True,openstreetmap
osm_4475439492,मोक्तान क्याफे,27.6816055,85.3201114,cafe,,,,True,openstreetmap
osm_4513310490,Unknown Cafe,27.724934,85.3606975,cafe,,,,True,openstreetmap
osm_4525794489,फ्रेश बिन्ज,27.6875922,85.3408528,cafe,,,,True,openstreetmap
osm_4531176389,कार्गो इन्टरनेट क्याफे,27.7159887,85.3114876,cafe,,,,True,openstreetmap
osm_4533107891,Unknown Cafe,27.7244004,85.3311633,cafe,,,,True,openstreetmap
osm_4537066792,Unknown Cafe,27.7206883,85.3621215,cafe,,,,True,openstreetmap
osm_4542809792,Unknown Cafe,27.7249512,85.3530592,cafe,,,,True,openstreetmap
osm_4543377289,Unknown Cafe,27.7235524,85.2711873,cafe,,,,True,openstreetmap
osm_4543411390,नेपको क्याफे र रेस्टुरेन्ट,27.712994,85.2898134,cafe,,,,True,openstreetmap
osm_4550087489,Unknown Cafe,27.7125495,85.2899786,cafe,,,,True,openstreetmap
osm_4553535333,Unknown Cafe,27.6889259,85.3089849,cafe,,,,True,openstreetmap
osm_4561938989,नाईस फुड क्याफे,27.6737801,85.3420983,cafe,,,,True,openstreetmap
osm_4561939189,मोमो पासाल,27.6770413,85.3427952,cafe,,,,True,openstreetmap
osm_4566227089,Unknown Cafe,27.721634,85.3625473,cafe,,,,True,openstreetmap
osm_4569964089,Unknown Cafe,27.6949284,85.3349583,cafe,,,,True,openstreetmap
osm_4601419793,Unknown Cafe,27.7172304,85.3156491,cafe,,,,True,openstreetmap
osm_4622809990,Unknown Cafe,27.7039759,85.3268385,cafe,,,,True,openstreetmap
osm_4631686301,Unknown Cafe,27.6811137,85.3204159,cafe,,,,True,openstreetmap
osm_4631686496,Unknown Cafe,27.6810705,85.3205353,cafe,,,,True,openstreetmap
osm_4637331289,फालानो कफी घर,27.6792609,85.3170332,cafe,,,,True,openstreetmap
osm_4646679991,Unknown Cafe,27.7214768,85.3201219,cafe,,,,True,openstreetmap
osm_4648488894,Unknown Cafe,27.6628945,85.2943699,cafe,,,,True,openstreetmap
osm_4658967594,Unknown Cafe,27.6916172,85.285672,cafe,,,,True,openstreetmap
osm_4664767490,Redmud Coffee,27.6931779,85.3190344,cafe,,,,True,openstreetmap
osm_4686989695,मिराज क्याफे र बेकरी,27.7186788,85.3119127,cafe,,,,True,openstreetmap
osm_4688178792,Unknown Cafe,27.7153615,85.3089237,cafe,,,,True,openstreetmap
osm_4691672790,Unknown Cafe,27.7182397,85.3102307,cafe,,,,True,openstreetmap
osm_4697135290,Unknown Cafe,27.6902605,85.3641305,cafe,,,,True,openstreetmap
osm_4702950592,राजिव चिया पसल,27.6848467,85.3352833,cafe,,,,True,openstreetmap
osm_4706228913,Unknown Cafe,27.6648349,85.3190656,cafe,,,,True,openstreetmap
osm_4707907789,Unknown Cafe,27.7263913,85.3025702,cafe,,,,True,openstreetmap
osm_4716645091,Unknown Cafe,27.749123,85.2953315,cafe,,,,True,openstreetmap
osm_4723545207,Unknown Cafe,27.6747667,85.3227411,cafe,,,,True,openstreetmap
osm_4723545211,Unknown Cafe,27.6747448,85.3232558,cafe,,,,True,openstreetmap
osm_4730045290,Unknown Cafe,27.7366443,85.324754,cafe,,,,True,openstreetmap
osm_4731474722,साजन फूड क्याफे र स्यान्डविच पसल,27.7134845,85.3120881,cafe,,,,True,openstreetmap
osm_4731862821,Unknown Cafe,27.6776598,85.3138856,cafe,,,,True,openstreetmap
osm_4739830723,Unknown Cafe,27.693052,85.3404039,cafe,,,,True,openstreetmap
osm_4741180321,Unknown Cafe,27.7055989,85.3256988,cafe,,,,True,openstreetmap
osm_4742382628,Unknown Cafe,27.6929724,85.3669302,cafe,,,,True,openstreetmap
osm_4742688321,ला पाना-अर्जेन्टिनी क्याफेटेरिया,27.6764587,85.3086333,cafe,,,,True,openstreetmap
osm_4744759928,Sharma's Tea Shop,27.6890496,85.3127722,cafe,,,,True,openstreetmap
osm_4754370529,Unknown Cafe,27.6783062,85.312212,cafe,,,,True,openstreetmap
osm_4754408622,Unknown Cafe,27.6781984,85.3128841,cafe,,,,True,openstreetmap
osm_4754408623,Busy Bean,27.6772801,85.3091608,cafe,,,,True,openstreetmap
osm_4754439622,Unknown Cafe,27.6782188,85.3156226,cafe,,,,True,openstreetmap
osm_4756445222,Unknown Cafe,27.7320573,85.3436325,cafe,,,,True,openstreetmap
