osm_id,amenity_type,name,latitude,longitude
2161030147,veterinary,पशु चिकित्सा क्लिनिक,27.6986392,85.3483418
2163527097,pharmacy,Unnamed,27.726638,85.3078477
2164025605,cafe,College Cafe,27.6892373,85.3121829
2164874380,dentist,Khushi Family Dental Clinic,27.6851305,85.3013735
2164876874,place_of_worship,अर्चना बाबा धाम,27.6711196,85.3011884
2164877858,hospital,सार्वजनिक अस्पताल,27.6656582,85.3054073
2164892992,clinic,सहरी विकास क्लिनिक ,27.664126,85.3085213
2164894427,place_of_worship,Ganesh,27.6640909,85.3087199
2164905855,restaurant,Sajan Goth Sweets Shop,27.6921279,85.31555
2164947762,fast_food,KFC,27.6792025,85.3465925
2164947771,restaurant,Unnamed,27.679174,85.3480707
2164964250,cafe,ASSA Cafe,27.6701365,85.3096762
2164964251,college,Asian College,27.6704588,85.3099818
2164964253,fast_food,क्वालिटी फूड क्याफे,27.6697615,85.3060174
2164967014,place_of_worship,साई बाबा,27.6730496,85.3069022
2165197396,fast_food,A-One Fast Food Restaurant,27.7345532,85.3422644
2165231925,restaurant,Tamas Restaurant,27.7140846,85.309917
2165424701,hospital,नेपाल पशु अस्पताल,27.6948215,85.3112844
2165424703,atm,Unnamed,27.6965694,85.3052521
2165424705,place_of_worship,दक्षिणकाली मन्दिर,27.6966881,85.3086773
2165424708,hospital,ब्लु क्रस अस्पताल,27.6937147,85.3152583
2165424713,bank,राष्ट्रिय वाणिज्य बैंक,27.6965195,85.30662
2165424716,fast_food,Kwality Fast Food Cafe,27.697194,85.3050804
2165424724,school,कान्ति इश्वरी विद्यालय,27.6933442,85.3131083
2165424726,bank,Nepal Credit & Commerce Bank Ltd.,27.6965789,85.3051957
2165424729,bank,Nepal Investment Bank,27.6945982,85.3112117
2165446726,atm,Unnamed,27.6979041,85.3037044
2165446727,bank,KIST Bank,27.698455,85.3005448
2165446728,police,कालिमाटी प्रहरी चौकी,27.697371,85.2993955
2165446729,atm,Unnamed,27.6977333,85.2967254
2165446730,bank,नेपाल इन्भेष्टमेन्ट बैंक,27.6974946,85.299252
2165495763,restaurant,Sidhartha Cottage Resturant,27.6753319,85.3027813
2166402971,drinking_water,Unnamed,27.6737604,85.3225825
2166402972,place_of_worship,Temple,27.6737325,85.3225387
2166403114,pharmacy,Panchamuni,27.6736091,85.3232492
2166403292,bank,Nepal Rastra BNK,27.7011009,85.3121776
