osm_id,highway_type,name,nodes
27033019,tertiary,कुशलेचौर मार्ग,"[765002045, 1275284630, 7239673190, 10774767396, 1280033510, 1280033509, 1280033454, 3488618658, 296319818, 1280033459, 8310732790, 296319821, 2127175022, 296319826, 296319851]"
27033020,residential,Burakhya Marg,"[13022342624, 13022342623, 9467907118, 13022342622, 9467907117, 13004107786, 9467907119, 9467907120, 9467907121, 296319868, 1802839546, 3442556450, 1802839552, 8410999755, 8413510322, 3442556595, 949307734, 8413419220, 4491038459, 1802839558, 3442556774, 1802839560, 4527880798, 1275284489, 1802839562, 296319862]"
27033730,primary,लेखनाथ सडक,"[13253615197, 5784632343, 1952134601, 268117052, 5784633468, 268117053]"
27033731,primary,Unnamed,"[296329358, 296329351]"
27033738,secondary,Dallu bridge,"[296329367, 296329366]"
27034031,trunk,मदन भण्डारी मार्ग,"[31231238, 2342311116]"
27705561,unclassified,Unnamed,"[304250017, 3489047872, 304250018]"
27705567,residential,Kimdole Marg,"[7069041017, 3493425326, 3493425317, 1832349419, 304250070, 1832349398]"
27705573,service,Unnamed,"[304250017, 12925210888, 304250102, 12925210887, 12993564040, 304250103, 12993564039, 1832349311, 1832349344, 12993564038, 1832349363, 3489047890]"
27705579,unclassified,Unnamed,"[304250017, 304250137, 304250138, 5052853297, 304250139, 5161231927, 5047365037, 5049993481, 2516880400, 671853948]"
27705581,service,Unnamed,"[304250137, 5052602947, 3071476272, 304250141]"
27705591,secondary,संग्रहालय मार्ग,"[1498888720, 10926720253, 1832349295, 5312304027, 304250183, 304250186, 11118844113, 5312304028, 304250189, 5161231925, 5312304029, 304250190, 5161231924, 5161231923, 5312304031, 304250192, 5312304030, 1832349285, 5312304032, 304250196, 5312304033, 1832317263, 3493438785, 3097524574, 3097525055, 1832317255, 5312304034, 3097525056, 304250200, 12919121908, 304250201, 3097525044, 1832349260, 3066286424, 304250205, 1832317251, 3066286408, 12925127482, 12365346787, 268308334]"
