is_operational,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
0.0,-0.31576334693357044,-0.33062625050620664,0.0,0.39029442096004596,-0.021935246487690865,0.05390225197415332,-0.5092952717888503,-1.1381489008872223,1.103851040123577,-0.12086413820110069,-0.573082732866807,-0.5083311688640983,-0.9944855638400434,-0.5300832454123038,0.45798475666484906,-0.9353411488120261,0.6273648527466776,0
0.0,-0.346396667365078,-0.40834199388362064,0.0,0.7338641257618933,-0.13440714759614497,-0.0918709114217835,0.22650977557459925,-0.699496082048595,0.208535209240756,-0.12086413820110069,0.13819517210201138,0.11869053235270229,0.21433627483268733,0.11975586649032778,0.2819248162499103,0.7677344510421036,0.6273648527466776,0
0.0,-0.6220965512486463,-0.6414892240158625,0.0,0.7012531416017853,0.20300855572921736,-0.6094645298962613,-0.9507783002069199,-0.699496082048595,0.5782035046262386,-0.12086413820110069,0.42613472530788266,-0.5083311688640983,0.27500998161661355,-0.830069397372189,0.57066311853041,-0.38434610180039575,-0.31973080014130434,0
0.0,-0.37702998779658564,-0.6414892240158625,0.0,0.8850867425751384,1.2714916162595313,0.8959662237696746,0.5208317945199791,0.616462374467287,-0.8108379466427471,1.8092715649798354,0.23553429722196123,0.745712233569503,0.058742786083278854,1.469693550309812,0.04952569490219098,0.7677344510421036,0.6273648527466776,0
0.0,-0.4076633082280932,-0.33062625050620664,0.0,-0.13898473788631072,1.8900870723560288,-0.34455990655025404,0.8151538134653589,0.17780955562865963,-1.0683413952062208,2.2918054907750696,-0.17088864412448543,0.745712233569503,-1.3008263986244895,1.9192801262182793,1.8101250990515794,0.7677344510421036,0.6273648527466776,0
0.0,-0.8365297942691993,-0.6414892240158625,0.0,-0.2594722236106044,-0.7530026036926426,-1.7295794677861869,1.2566368418834286,0.17780955562865963,-1.1285548899845537,-0.6033980639963348,1.4628077351191087,-0.5083311688640983,-0.8312028619838326,0.41974201845021325,-0.6969684524571494,0.7677344510421036,-2.005561062281912,0
0.0,-0.46892994909110836,-0.4860577372610346,0.0,0.013103657267467868,0.03430070406653619,-0.44914895195563875,0.22650977557459925,0.616462374467287,-0.6256908389979354,-0.12086413820110069,-1.6384515282060241,0.745712233569503,-0.5938710994520313,0.2697489424702702,1.3101148682731532,0.7677344510421036,0.6273648527466776,0
0.0,-0.46892994909110836,-0.40834199388362064,0.0,0.2539343323259656,-0.7530026036926426,1.231256133511964,-0.6564562812615401,1.0551151933059144,-1.079733137461581,-0.12086413820110069,-1.094741907675661,-0.5083311688640983,0.8132548990927654,-0.6302095134093859,-1.3871234188837096,-0.08380334888496084,0.6273648527466776,0
0.0,-0.37702998779658564,-0.25291050712879265,0.0,0.40659991304009996,-0.7530026036926426,-1.713989999394283,-0.80361729073423,-0.2608432632099677,-0.14035254532725622,0.3616697875941334,-0.5456707061650677,-0.5083311688640983,-0.8225444203341562,-0.48021643742944314,-0.6969684524571494,-0.03371289006572192,0.6273648527466776,0
0.0,-0.46892994909110836,-0.33062625050620664,0.0,0.48928174456108237,-0.6967666531384156,1.3500385755129625,-0.6564562812615401,1.0551151933059144,-1.3900642259345275,-0.12086413820110069,-1.3078458728335338,0.11869053235270229,0.6476460487336565,-0.48021643742944314,-1.2744450570181487,0.06646802757275592,0.6273648527466776,0
