latitude,longitude,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
27.708386962276478,85.34689780294904,2,0,308.84,356.86,22,420.84,9,0,235.33,3,332.66,3,270.88,53.48,2.22,4.8,1.27,High
27.73537132889411,85.34897834630193,0,0,500,500,0,500,1,0,483.93,0,500,0,500,2.55,0.0,0.3,0,Low
27.748361357677034,85.37215784228191,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.682492677008824,85.28671640570083,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.72144459891838,85.36289234215269,38,18,26.57,230.09,4,359.42,9,2,194.78,4,127.84,1,265.49,52.2,1.3,8.1,10,High
27.668909184653053,85.34897184541893,7,2,52.58,310.9,1,238.21,9,3,83.14,0,500,0,500,22.92,0.31,4.7,4.82,High
27.671094635270695,85.28311519016863,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.71826264067128,85.37183024399388,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.72726438817581,85.32858100072791,27,0,206.65,394.17,5,420.12,17,1,171.22,3,212.69,3,373.12,73.85,1.3,10,10,High
27.683145498196478,85.33105429350404,5,0,268.16,357.63,1,228.57,20,2,77.73,0,500,1,228.57,54.75,1.05,8.3,3.18,High
27.74783865097568,85.3425480571585,2,0,254.49,370.35,1,217.13,6,0,218.05,2,282.94,0,500,28.01,0.34,4.1,1.27,High
27.692105349604923,85.37340211151327,0,0,500,500,1,488.65,0,0,500,0,500,0,500,0.0,0.01,0.0,0,Low
27.738670404732684,85.33438125335937,11,7,80.63,250.1,13,331.36,10,0,217.42,7,164.62,3,315.28,81.49,2.71,8.2,7.3,High
27.744519611360076,85.29832433342114,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.69671904441916,85.29685104876461,5,0,307.79,363.41,1,317.71,13,3,81.37,3,203.87,1,317.71,56.02,0.7,8.9,3.18,High
27.74198201258467,85.35376228702766,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.732139352894816,85.35510353849205,1,0,451.67,451.67,0,500,1,0,410.9,0,500,0,500,2.55,0.0,0.3,0.64,Low
27.745046097566888,85.28281073445548,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.725457563216928,85.30228740612324,1,1,107.49,107.49,7,282.21,8,0,297.08,2,333.32,3,108.97,44.56,3.62,4.1,0.87,High
27.683395942977192,85.37450770770111,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.671165330431567,85.28003051203773,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.726434706416097,85.3034781327519,1,1,89.5,89.5,5,139.86,9,1,154.05,2,208.42,2,51.71,43.29,4.27,10,0.91,High
27.724362632246155,85.33493629502148,17,0,224.22,409.64,5,394.71,17,0,212.69,2,425.31,2,375.33,63.66,1.23,6.5,10,High
27.6643530009207,85.37730823920194,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.676006727964836,85.33845729866958,12,2,39.93,345.37,10,442.93,7,1,119.75,1,311.01,3,260.36,35.65,1.51,5.4,8.04,High
27.736013027482766,85.29542858162374,0,0,500,500,0,500,7,3,91.73,0,500,0,500,17.83,0.0,4.1,0,High
27.744541162340862,85.29506047544865,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.7233696229675,85.36483632813702,35,10,65.75,294.72,5,252.02,14,1,198.73,3,289.97,1,345.08,58.57,1.9,9.2,10,High
27.706908680734962,85.29433860888561,2,0,257.55,266.97,0,500,7,1,176.75,0,500,0,500,17.83,0.0,4.1,1.27,High
27.661770189492024,85.28681520036793,0,0,500,500,0,500,0,0,500,0,500,0,500,0.0,0.0,0.0,0,Low
27.721448348196194,85.33986591906498,13,2,192.47,339.93,7,405.86,8,3,151.85,2,485.97,0,500,33.1,0.79,5.2,8.29,High
