is_operational,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,target_encoded
-1.0,-0.9837503609129218,-0.8346950491462756,0.0,-3.7540436712557765,-0.8515843714353333,-3.892284448331026,-2.393488517195286,-0.8677359426191935,-1.618148951319591,-1.859625952224198,-1.7390471133140384,-1.4540875443635908,-2.0266382317472478,-2.6684686612337525,-2.0519333949438683,-4.835280807082987,-3.8303844145681847,0
-1.0,-0.9837503609129218,-0.8528142594523878,0.0,-3.740336911910516,-0.8515843714353333,-3.899085703687617,-2.155268527396054,-1.2525685335693406,-1.6126875976935824,-2.0924649417675583,-1.7319810845781063,-1.8472437581604015,-2.013536260222841,-2.6409945661539096,-2.4338176992088614,-4.182926750255296,-3.8303844145681847,0
-1.0,-0.9734279573856681,-0.8226155756088674,0.0,-3.7324081044387323,-0.8484218893005958,-3.8567270792816757,-2.371832154486265,-0.6753196471441199,-1.6168984032009237,-1.6267869626808376,-1.7545021622044605,-1.06093133056678,-2.0171661171564375,-2.6488421050964686,-2.453655844884965,-4.208017290902515,-2.923347948880815,0
-1.0,-0.9724895570650086,-0.8226155756088674,0.0,-3.738454652993895,-0.5479860865005362,-3.8848849531997867,-1.982017625723885,-1.2525685335693406,-1.5886231654752212,-0.46259201496403546,-1.755362106626524,0.11853731082365264,-2.0328833893286533,-2.5114253770119337,0.2294533578080404,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9002327323742333,-0.7380592608470105,0.0,-3.7340863131630644,-0.8231220322226961,-3.8734683185862857,-2.4584576053223497,-1.4449848290444143,-1.6038162281449926,-1.393947973137477,-1.7382362108152494,-1.06093133056678,-2.023224228969928,-2.654731613693831,-1.223690812966545,-4.785099725788549,-2.923347948880815,0
-1.0,-0.9762431583476464,-0.8467745226836836,0.0,-3.7256702838035713,-0.8515843714353333,-3.8535436857296954,-2.2635503409411597,-1.4449848290444143,-1.6038961503931781,-1.859625952224198,-1.7316452044291706,-1.8472437581604015,-2.013536260222841,-2.6508001354416644,-2.637158692388923,-4.458922697374704,-3.098440431181225,0
-1.0,-0.979996759630284,-0.8407347859149796,0.0,-3.736849319338237,-0.6428605505426602,-3.870960313377179,-2.2202376155231174,-1.0601522380942672,-1.6078201760687951,-2.0924649417675583,-1.7516411932618272,-1.8472437581604015,-2.013536260222841,-2.6527735833486346,-1.7196444548691336,-4.032383506371983,-3.464412422874705,0
-1.0,-0.9818735602716029,-0.8467745226836836,0.0,-3.734802570980894,-0.7598723895279467,-3.8790000062763124,-2.5450830561584348,-1.4449848290444143,-1.5907857674849462,-0.9282699940507563,-1.7555702496729781,0.11853731082365264,-2.032323504563533,-2.633131609649577,-0.762453925997137,-3.8567497218414504,-3.6466808265808695,0
-1.0,-0.9734279573856681,-0.8105361020714592,0.0,-3.737190791088598,-0.8515843714353333,-3.8734006444036333,-2.4151448799043074,-1.2525685335693406,-1.5898031939631363,-2.0924649417675583,-1.7496338959371174,-1.4540875443635908,-2.0208130921179013,-2.6822211263354467,-2.319748361571266,-4.634556481905236,-2.923347948880815,0
-1.0,-0.9649823544997334,-0.8346950491462756,0.0,-3.725632805196825,-0.829446996492171,-3.8712188287549116,-2.328519429068223,-1.0601522380942672,-1.599508262257504,-0.9282699940507563,-1.7497690463535822,-1.06093133056678,-2.0201037377435993,-2.6115470231670965,-1.575817898717383,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9649823544997334,-0.8286553123775715,0.0,-3.7352960393030608,-0.8136345858184837,-3.8724315501080473,-2.3501757917772443,-1.2525685335693406,-1.5927634513518107,-0.9282699940507563,-1.7469137799601668,-1.06093133056678,-2.0233991668644733,-2.6154785014192625,-1.035228429043561,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9649823544997334,-0.8286553123775715,0.0,-3.7208917614433448,-0.8515843714353333,-3.8555806786275397,-2.0036739884329062,-1.2525685335693406,-1.603074988470645,-1.859625952224198,-1.7341868306156,-1.8472437581604015,-2.013536260222841,-2.6036994842245376,-2.6272396195508714,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9621671535377551,-0.8044963653027553,0.0,-3.737392759136067,-0.7693598359321591,-3.879568469410595,-2.328519429068223,-0.6753196471441199,-1.6095674958085366,-1.393947973137477,-1.7431597918100064,-0.2746189029731582,-2.031031719728871,-2.6193945621096555,-0.5789510784931792,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9875039621955595,-0.8528142594523878,0.0,-3.793427440512287,-0.835771960761646,-3.891725459582316,-2.2635503409411597,-1.637401124519488,-1.5866078711386222,-2.325303931310919,-1.72928777058248,-1.4540875443635908,-2.0255760789937316,-2.6645526005433595,-1.164176375938234,-5.086186213555176,-4.194921221980513,0
